CartridgeId,RunDate,LotNumber,KitId,ChannelNumber,Sample,AnalyteName,InletNumber,DilutionFactor,CalculatedConcentration,CalculatedConcentrationInRange,CalculatedConcentrationPercentCV,CalculatedConcentrationStdDev,RFU,Gnr1RFU,Gnr2RFU,Gnr3RFU,RFUPercentCV,RFUStdDev,KitGuid,InstrumentName,Gnr1CalculatedConcentration,Gnr2CalculatedConcentration,Gnr3CalculatedConcentration,KnownConcentration,PercentRecovery,Signal,CurveCoefficientA,CurveCoefficientB,CurveCoefficientC,CurveCoefficientD,CurveCoefficientG,SampleType,Background,BufferId,CartridgeComments,DiluentId,Gnr1Background,Gnr1Signal,Gnr2Background,Gnr2Signal,Gnr3Background,Gnr3Signal,GnrCount,GnrFilter,GnrFilterCVPercentThreshold,InletComment,IsSampleStdDev,RunUserName,SpecimenTypes
34146,7/12/2017 17:56,2411,35290,3,91445,IL-6,12,2,163.98,IR,1.063,1.744,20.373,,20.165,20.581,1.021,0.208,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,,162.236,165.724,,,20.845,0.061,0.984,3449.682,1126.02,0.73,Unknown,0.472,689,,726,,,0.472,20.637,0.472,21.053,2,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,4,91445,IL-8,12,2,1039.363,IR,4.714,48.997,459.507,440.377,453.24,484.903,4.072,18.71,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,989.44,1022.709,1105.939,,,460.043,0.091,1.022,2954.145,2878.453,1.112,Unknown,0.537,689,,726,0.537,440.913,0.537,453.777,0.537,485.44,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,1,91233,CXCL10,13,2,332.682,IR,3.6,11.977,155.14,158.547,159.637,147.236,3.614,5.607,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,339.955,342.295,315.798,,,155.639,0.101,1.127,913.749,1686.549,0.704,Unknown,0.499,689,,726,0.499,159.046,0.499,160.136,0.499,147.735,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,2,91233,IFNg,13,2,16.472,IR,0.864,0.142,3.245,3.223,3.282,3.23,0.805,0.026,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,16.352,16.672,16.392,,,3.691,0.266,1.016,4577.497,2565.177,0.714,Unknown,0.446,689,,726,0.446,3.669,0.446,3.728,0.446,3.676,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,3,91233,IL-6,13,2,22.594,IR,6.812,1.539,3.005,2.775,2.986,3.255,6.544,0.197,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,20.79,22.443,24.55,,,3.452,0.061,0.984,3449.682,1126.02,0.73,Unknown,0.447,689,,726,0.447,3.222,0.447,3.433,0.447,3.702,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,4,91233,IL-8,13,2,215.731,IR,3.744,8.078,104.946,107.973,107.391,99.473,3.694,3.877,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,222.04,220.825,204.328,,,105.42,0.091,1.022,2954.145,2878.453,1.112,Unknown,0.475,689,,726,0.475,108.448,0.475,107.866,0.475,99.948,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,1,90651,CXCL10,14,2,2630.258,OOR>,0.698,18.355,803.927,801.405,802.337,808.038,0.365,2.932,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,2614.49,2620.284,2656,,,804.779,0.101,1.127,913.749,1686.549,0.704,Unknown,0.852,689,,726,0.852,802.257,0.852,803.189,0.852,808.89,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,2,90651,IFNg,14,2,9.072,IR,0.837,0.076,1.892,1.911,1.889,1.878,0.73,0.014,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,9.174,9.052,8.991,,,2.354,0.266,1.016,4577.497,2565.177,0.714,Unknown,0.462,689,,726,0.462,2.373,0.462,2.351,0.462,2.34,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,3,90651,IL-6,14,2,81.497,IR,1.388,1.131,10.381,10.224,10.356,10.563,1.343,0.139,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,80.224,81.294,82.973,,,10.85,0.061,0.984,3449.682,1126.02,0.73,Unknown,0.469,689,,726,0.469,10.693,0.469,10.825,0.469,11.032,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,4,90651,IL-8,14,2,3543.398,IR,2.112,74.83,1163.564,1172.291,1176.502,1141.9,1.325,15.415,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,3585.569,3606.368,3438.255,,,1164.261,0.091,1.022,2954.145,2878.453,1.112,Unknown,0.696,689,,726,0.696,1172.987,0.696,1177.199,0.696,1142.597,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
