AnalyteName,Background,BufferId,CartridgeId,CartridgeComments,CalculatedConcentration,CalculatedConcentrationInRange,CalculatedConcentrationPercentCV,CalculatedConcentrationStdDev,ChannelNumber,CurveCoefficientA,CurveCoefficientB,CurveCoefficientC,CurveCoefficientD,CurveCoefficientG,DiluentId,DilutionFactor,GnrFilter,GnrFilterCVPercentThreshold,IsSampleStdDev,Gnr1CalculatedConcentration,Gnr1RFU,Gnr1Background,Gnr1Signal,Gnr2CalculatedConcentration,Gnr2RFU,Gnr2Background,Gnr2Signal,Gnr3CalculatedConcentration,Gnr3RFU,Gnr3Background,Gnr3Signal,GnrCount,InletComment,InletNumber,InstrumentName,KitId,KitGuid,KnownConcentration,LotNumber,PercentRecovery,RFU,RFUPercentCV,RFUStdDev,RunDate,RunUserName,SampleName,SampleType,Signal,SpecimenTypes
IL-6,0.82,689,32270,,98.594,IR,4.226,4.167,2,0.071,0.975,3926.232,923.313,1.052,691,1,GnrRfuCVThreshold,10,FALSE,102.819,27.103,0.82,27.922,100.039,26.409,0.82,27.229,92.924,24.628,0.82,25.448,3,,11,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,26.047,4.001,1.042,6/20/2017 11:40,Ella,11,None,26.866,PlasmaSerum
TNF-a,0.792,689,32270,,3.879,IR,5.55,0.215,3,0.232,0.992,4088.067,979.289,0.602,691,1,GnrRfuCVThreshold,10,FALSE,4.083,0.854,0.792,1.646,3.974,0.838,0.792,1.629,3.581,0.778,0.792,1.57,3,,11,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,0.823,3.949,0.033,6/20/2017 11:40,Ella,11,None,1.615,PlasmaSerum
VEGF-A,0.816,689,32270,,24.186,IR,3.255,0.787,4,1.568,0.972,4665.583,848.638,0.92,691,1,GnrRfuCVThreshold,10,FALSE,24.239,6.23,0.816,7.046,25.123,6.394,0.816,7.21,23.197,6.036,0.816,6.852,3,,11,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,6.22,2.353,0.146,6/20/2017 11:40,Ella,11,None,7.036,PlasmaSerum
CCL2,0.755,689,32270,,0.507,OOR<,6.153,0.031,1,0.206,1.232,641.472,1368.234,0.875,691,1,GnrRfuCVThreshold,10,FALSE,0.525,0.394,0.755,1.149,0.463,0.367,0.755,1.123,0.533,0.398,0.755,1.153,3,,12,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,0.387,3.513,0.014,6/20/2017 11:40,Ella,12,None,1.142,PlasmaSerum
IL-6,0.807,689,32270,,91.407,IR,6.503,5.944,2,0.071,0.975,3926.232,923.313,1.052,691,1,GnrRfuCVThreshold,10,FALSE,,,,,85.463,22.75,0.807,23.556,97.352,25.738,0.807,26.544,2,,12,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,24.244,6.163,1.494,6/20/2017 11:40,Ella,12,None,25.05,PlasmaSerum
TNF-a,0.761,689,32270,,1.113,OOR<,5.114,0.057,3,0.232,0.992,4088.067,979.289,0.602,691,1,GnrRfuCVThreshold,10,FALSE,1.179,0.414,0.761,1.175,1.118,0.405,0.761,1.165,1.04,0.393,0.761,1.153,3,,12,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,0.404,2.152,0.009,6/20/2017 11:40,Ella,12,None,1.164,PlasmaSerum
VEGF-A,0.742,689,32270,,4.364,IR,15.632,0.682,4,1.568,0.972,4665.583,848.638,0.92,691,1,GnrRfuCVThreshold,10,FALSE,3.409,2.264,0.742,3.005,4.963,2.57,0.742,3.312,4.719,2.522,0.742,3.264,3,,12,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,2.452,5.485,0.134,6/20/2017 11:40,Ella,12,None,3.194,PlasmaSerum
CCL2,0.879,689,32270,,170.568,IR,1.02,1.74,1,0.206,1.232,641.472,1368.234,0.875,691,1,GnrRfuCVThreshold,10,FALSE,168.828,195.912,0.879,196.792,,,,,172.308,200.121,0.879,201.001,2,,13,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,198.017,1.063,2.105,6/20/2017 11:40,Ella,13,None,198.896,PlasmaSerum
IL-6,0.796,689,32270,,4.488,IR,4.076,0.183,2,0.071,0.975,3926.232,923.313,1.052,691,1,GnrRfuCVThreshold,10,FALSE,4.414,1.361,0.796,2.157,4.739,1.453,0.796,2.25,4.31,1.331,0.796,2.127,3,,13,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,1.382,3.764,0.052,6/20/2017 11:40,Ella,13,None,2.178,PlasmaSerum
TNF-a,0.804,689,32270,,11.643,IR,1.763,0.205,3,0.232,0.992,4088.067,979.289,0.602,691,1,GnrRfuCVThreshold,10,FALSE,11.799,2.011,0.804,2.815,11.778,2.008,0.804,2.812,11.353,1.944,0.804,2.749,3,,13,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,1.988,1.541,0.031,6/20/2017 11:40,Ella,13,None,2.792,PlasmaSerum
